std::unordered_map<std::string, int> Tops({
{ “Pink Nurse Uniform”, 1051059 },
{ “White Nurse Uniform”, 1051060 },
{ “Women's Ninja Uniform”, 1051061 },
{ “Blue Lineros”, 1051062 },
{ “Beige Lineros”, 1051063 },
{ “Green Lineros”, 1051064 },
{ “Dark Lineros”, 1051065 },
{ “Red Pria”, 1051066 },
{ “Blue Pria”, 1051067 },
{ “Green Pria”, 1051068 },
{ “Dark Pria”, 1051069 },
{ “Bunny Costume”, 1051070 },
{ “Pink Kimono”, 1051071 },
{ “White Kimono”, 1051072 },
{ “Red Kimono”, 1051073 },
{ “Yellow Kimono”, 1051074 },
{ “Blue Swimming Suit”, 1051075 },
{ “Ghost Suit”, 1051076 },
{ “Yellow Battle Empress”, 1051077 },
{ “Red Battle Empress”, 1051078 },
{ “Blue Battle Empress”, 1051079 },
{ “Dark Battle Empress”, 1051080 },
{ “Purple Kimono”, 1051081 },
{ “Red Anes”, 1051082 },
{ “Blue Anes”, 1051083 },
{ “Green Anes”, 1051084 },
{ “Dark Anes”, 1051085 },
{ “Ragged Korean Costume”, 1051086 },
{ “Pink Mesoranger”, 1051087 },
{ “Yellow Mesoranger”, 1051088 },
{ “Black Mesoranger”, 1051089 },
{ “Green Katte”, 1051090 },
{ “Blue Katte”, 1051091 },
{ “Red Katte”, 1051092 },
{ “Dark Katte”, 1051093 },
{ “Green Oriental Fury Coat”, 1051094 },
{ “Blue Oriental Fury Coat”, 1051095 },
{ “Red Oriental Fury Coat”, 1051096 },
{ “Black Oriental Fury Coat”, 1051097 },
{ “Bathrobe for Women”, 1051098 },
{ “Prep Uniform”, 1051099 },
{ “Western Cowgirl”, 1051100 },
{ “Green Bazura”, 1051101 },
{ “Blue Bazura”, 1051102 },
{ “Red Bazura”, 1051103 },
{ “Dark Bazura”, 1051104 },
{ “Green Armis”, 1051105 },
{ “Blue Armis”, 1051106 },
{ “Red Armis”, 1051107 },
{ “Pink Picnic Dress”, 1051108 },
{ “Yellow Picnic Dress”, 1051109 },
{ “Purple Frill One Piece”, 1051110 },
{ “Blue Frill One Piece”, 1051111 },
{ “Boxing Gear (F)”, 1051112 },
{ “Transparent Overall (F)”, 1051113 },
{ “Wedding Dress”, 1051114 },
{ “Sea Queen Dress”, 1051115 },
{ “Race Queen Uniform”, 1051116 },
{ “Diao Chan Dress”, 1051117 },
{ “Pink Strapless Bikini”, 1051118 },
{ “Blue Strapless Bikini”, 1051119 },
{ “Flight Attendant Uniform”, 1051120 },
{ “Tropical Dress”, 1051121 },
{ “White Cat Costume”, 1051122 },
{ “Violet Strapless Dress”, 1051123 },
{ “Purple Ring One Piece”, 1051124 },
{ “Black Cat Costume”, 1051125 },
{ “Red Chinese Dress”, 1051126 },
{ “Maid Uniform”, 1051127 },
{ “Horoscope Overall (Female)”, 1051128 },
{ “Santa Girl Overall”, 1051131 },
{ “White Coat”, 1051132 },
{ “Rough Coat”, 1051133 },
{ “Leopard Print Coat”, 1051134 },
{ “Ruffled Coat”, 1051135 },
{ “Korean Dress for the Palace”, 1051136 },
{ “Rabbit Fur Dress”, 1051137 },
{ “Lunar Celebration Dress”, 1051138 },
{ “White Ribboned Sailor Dress”, 1051139 },
{ “Yellow Bath Towel”, 1051140 },
{ “Female Shaman Costume”, 1051141 },
{ “Vibrant Yellow Dress”, 1051142 },
{ “Korean Flag Tank Top & Skirt”, 1051143 },
{ “Elegant Blue One Piece”, 1051144 },
{ “Street Cred Ensemble”, 1051147 },
{ “Navy Blue Au Luxe”, 1051148 },
{ “Princess Dress”, 1051149 },
{ “Blue Bridesmaid's Dress”, 1051150 },
{ “Pink Bridesmaid's Dress”, 1051151 },
{ “Red Bridesmaid's Dress”, 1051152 },
{ “White Bridesmaid's Dress”, 1051153 },
{ “Princess Isis”, 1051154 },
{ “Queen Mary”, 1051155 },
{ “Black Female Fur Coat”, 1051156 },
{ “White Female Fur Coat”, 1051157 },
{ “School uniform with hoody jumper”, 1051158 },
{ “Simple school uniform”, 1051159 },
{ “Pink-Striped Dress”, 1051160 },
{ “Cute Sailor Dress”, 1051162 },
{ “Gothic Overall”, 1051163 },
{ “Kitty Hoodie (f)”, 1051164 },
{ “Dressu Korean Traditional Costume”, 1051166 },
{ “Black Rockabilly Dress”, 1051167 },
{ “Sky Blue Picnicwear [F]”, 1051169 },
{ “Buddy Overall Jeans (F)”, 1051170 },
{ “Royal Costume”, 1051171 },
{ “Purple Dorothy Dress”, 1051173 },
{ “Fur-Trimmed Dress”, 1051175 },
{ “Pretty Girl”, 1051179 },
{ “Sailor Outfit”, 1051180 },
{ “Night Fever Ensemble”, 1051183 },
{ “Maid Dress”, 1051185 },
{ “Blue Daisy Dress”, 1051188 },
{ “Yellow Anticipation”, 1051189 },
{ “Seraphim Suit”, 1051190 },
{ “King Pepe Red Doroness Robe”, 1051191 },
{ “Blue Marine Girl”, 1051192 },
{ “Orange Towel”, 1051193 },
{ “Recycled Box”, 1052000 },
{ “Paper Box”, 1052001 },
{ “Cardboard Box”, 1052002 },
{ “Blue Chinese Undead Costume”, 1052003 },
{ “Maroon Chinese Undead Costume”, 1052004 },
{ “Yellow Raincoat”, 1052005 },
{ “Sky Blue Raincoat”, 1052006 },
{ “Red Raincoat”, 1052007 },
{ “Green Raincoat”, 1052008 },
{ “Orange Overall”, 1052009 },
{ “Pink Overall”, 1052010 },
{ “Blue Overall”, 1052011 },
{ “Green Overall”, 1052012 },
{ “Graduation Gown”, 1052013 },
{ “Ducky Costume”, 1052014 },
{ “Blue Shinsun”, 1052015 },
{ “Brown Shinsun”, 1052016 },
{ “Orange Life-Jacket”, 1052017 },
{ “Green Life-Jacket”, 1052018 },
{ “Blue Life-Jacket”, 1052019 },
{ “White Body Tights”, 1052020 },
{ “Black Body Tights”, 1052021 },
{ “White Holed Tights”, 1052022 },
{ “Black Holed Tights”, 1052023 },
{ “Big Kimono”, 1052024 },
{ “Denim Overall”, 1052025 },
{ “Grey Full Coat”, 1052026 },
{ “Red Full Coat”, 1052027 },
{ “Forest Samurai Outfit”, 1052028 },
{ “Premium Trenchcoat”, 1052029 },
{ “Toga”, 1052030 },
{ “Reindeer Suit”, 1052031 },
{ “Red Bruma”, 1052032 },
{ “Green Bruma”, 1052033 },
{ “Blue Bruma”, 1052034 },
{ “Guan Yu Armor”, 1052035 },
{ “Zhu-Ge-Liang Gown”, 1052036 },
{ “Patissier Uniform”, 1052037 },
{ “Blue Robot Pilotgear”, 1052038 },
{ “Liu Bei Robe”, 1052039 },
{ “Cao Cao Robe”, 1052040 },
{ “Sun Quan Robe”, 1052041 },
{ “Pink Robot Pilotgear”, 1052042 },
{ “Hip Hop Sweats”, 1052043 },
{ “Scuba Diving Suit”, 1052044 },
{ “Mink Coat”, 1052045 },
{ “Snowman Costume”, 1052046 },
{ “Black Snowboard Overall”, 1052047 },
{ “Brown Snowboard Overall”, 1052048 },
{ “Yang In”, 1052049 },
{ “Red Hip Hop”, 1052050 },
{ “Blue Hip Hop”, 1052051 },
{ “Musashi Costume”, 1052052 },
{ “Teddy Bear Costume”, 1052053 },
{ “Welder Look”, 1052054 },
{ “Enamer”, 1052055 },
{ “Soccer Uniform”, 1052056 },
{ “England Soccer Uniform(No.7)”, 1052057 },
{ “Brazil Soccer Uniform(No.10)”, 1052058 },
{ “France Soccer Uniform(No.14)”, 1052059 },
{ “England Soccer Uniform(No.8)”, 1052060 },
{ “Brazil Soccer Uniform(No.9)”, 1052061 },
{ “France Soccer Uniform(No.10)”, 1052062 },
{ “USA Soccer Uniform(No.17)”, 1052063 },
{ “Mexico Soccer Uniform(No.4)”, 1052064 },
{ “USA Soccer Uniform(No.21)”, 1052065 },
{ “Mexico Soccer Uniform(No.9)”, 1052066 },
{ “Mummy Suit”, 1052067 },
{ “Skull Suit”, 1052068 },
{ “Flamboyant Autumn Gear”, 1052069 },
{ “Red Mantle”, 1052071 },
{ “Black Garina”, 1052072 },
{ “Blue Dragon Armor”, 1052075 },
{ “Blue Czar”, 1052076 },
{ “Moon Bunny Costume”, 1052077 },
{ “Soap Bubble Bonanza”, 1052078 },
{ “Prince of Darkness”, 1052079 },
{ “Training Uniform for Beginners”, 1052081 },
{ “Elf Overall”, 1052082 },
{ “Son Wu Kong robe”, 1052083 },
{ “Golden Armor”, 1052084 },
{ “Red Amorian Apron”, 1052085 },
{ “Blue Amorian Apron”, 1052086 },
{ “Dark Blue Kimono”, 1052087 },
{ “Black Overcoat of Doom”, 1052089 },
{ “Rompers”, 1052090 },
{ “Sachiel Armor”, 1052091 },
{ “Veamoth Armor”, 1052092 },
{ “Janus Armor”, 1052093 },
{ “Zhu Ba Jie Overall”, 1052094 },
{ “Brown Rocky Suit”, 1052095 },
{ “Brown Cotton Lagger”, 1052098 },
{ “Beige Carribean”, 1052101 },
{ “Brown Turk Gally”, 1052104 },
{ “Brown Pollard”, 1052107 },
{ “Blue Brace Look”, 1052110 },
{ “Red Barbay”, 1052113 },
{ “Green Plasteer”, 1052116 },
{ “Black Royal Barone”, 1052119 },
{ “Red Viska”, 1052122 },
{ “White Pioneer”, 1052125 },
{ “White Marquini”, 1052128 },
{ “Red Belly Duke”, 1052131 },
{ “Canopus Suit”, 1052134 },
{ “Centaurus Legs”, 1052135 },
{ “Tomato Suit”, 1052137 },
{ “Shorts with Suspenders”, 1052142 },
{ “Sky Blue Padded Coat”, 1052143 },
{ “Luxurious Padded Coat”, 1052144 },
{ “Christmas Party Suit”, 1052145 },
{ “Chinese Lion Costume”, 1052147 },
{ “Bosshunter Armor”, 1052148 },
{ “Bosshunter Gi”, 1052149 },
{ “Bosshunter Armor”, 1052151 },
{ “Bosshunter Gi”, 1052152 },
{ “Red Viska for Transformation”, 1052153 },
{ “Tiger Cub Outfit”, 1052154 },
{ “Timeless Taragon”, 1052155 },
{ “Timeless Myst Blue”, 1052156 },
{ “Timeless Evernew”, 1052157 },
{ “Timeless Prinsid”, 1052158 },
{ “Timeless Burgunt”, 1052159 },
{ “Reverse Taragon”, 1052160 },
{ “Reverse Myst Blue”, 1052161 },
{ “Reverse Evernew”, 1052162 },
{ “Reverse Prinsid”, 1052163 },
{ “Reverse Burgunt”, 1052164 },
{ “Parachute Agent Suit”, 1052165 },
{ “Invincible Agent Suit”, 1052166 },
{ “Ultimate Agent Suit”, 1052167 },
{ “Cutie Buck Outfit”, 1052168 },
{ “Gaga Suit”, 1052169 },
{ “Noob Overall”, 1052170 },
{ “Baby Chick Apron”, 1052171 },
{ “Pumpkin Clothes”, 1052172 },
{ “Tacky Manager Uniform”, 1052173 },
{ “Coastal Winter Wear”, 1052175 },
{ “Fashionable Checkerwear”, 1052176 },
{ “Fancy Noblesse Robe”, 1052177 },
{ “Snowflake knit”, 1052178 },
{ “Cow Costume”, 1052179 },
{ “Denim Overalls”, 1052180 },
{ “Galactic Hero Suit”, 1052182 },
{ “??? ???”, 1052183 },
{ “Bombacha”, 1052192 },
{ “Honeybee Costume”, 1052193 },
{ “Caveman Outfit”, 1052194 },
{ “Aran Armor”, 1052195 },
{ “Aran Armor”, 1052196 },
{ “Brave Soldier Armor ”, 1052197 },
{ “Blade Overall”, 1052199 },
{ “Lolli Pink Suit”, 1052200 },
{ “Pink Bean Suit ”, 1052202 },
{ “One Summer Night ”, 1052203 },
{ “King Pepe Blue Suspenders Look”, 1052208 },
{ “Royal Navy Uniform”, 1052209 },
{ “Alchemist Overall”, 1052210 },
{ “Fire Shadow Suit”, 1052211 },
{ “Chaos Armor”, 1052213 },
{ “Maple Racing Suit”, 1052214 },
{ “Clown Suit”, 1052218 },
{ “Former Hero Robe”, 1052226 },
{ “Stylish Layered Plaid”, 1052234 },
});
